순번(No),시설물명,시설물구분,시설물종류,종별,관리주체구분,항목명,위치
199,고천지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 495.0 m, 차로수 : 4",경기도 의왕시
200,경민지하차도B,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 150.0 m, 차로수 : 4",경기도 의정부시
201,금신 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 460.0 m, 차로수 : 4",경기도 의정부시
202,민락지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 460.0 m, 차로수 : 4",경기도 의정부시
203,사패터널BOX,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 109.0 m, 차로수 : 6",경기도 의정부시
204,신곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 190.0 m, 차로수 : 4",경기도 의정부시
205,용현지하차도(상),터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 320.0 m, 차로수 : 3",경기도 의정부시
206,용현지하차도(하),터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 320.0 m, 차로수 : 3",경기도 의정부시
207,의정부역지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 158.6 m, 차로수 : 4",경기도 의정부시
208,자금지하차도(구리),터널,지하차도,2종,민간,"형식 : 1련 암거 2개소 (15.8x5.45M) / 연장 : 180.0 m, 차로수 : 3",경기도 의정부시
209,자금지하차도(포천),터널,지하차도,2종,민간,"형식 : 1련 암거 2개소 (15.8x5.45M) / 연장 : 180.0 m, 차로수 : 3",경기도 의정부시
